"DHSCLUSTER","ADM2_EN"
259,"Rajbari"
260,"Rajbari"
261,"Rajbari"
262,"Shariatpur"
263,"Shariatpur"
264,"Tangail"
265,"Tangail"
266,"Tangail"
267,"Tangail"
268,"Tangail"
269,"Tangail"
270,"Tangail"
271,"Tangail"
272,"Khulna"
273,"Khulna"
274,"Khulna"
275,"Khulna"
276,"Khulna"
277,"Khulna"
278,"Khulna"
279,"Khulna"
280,"Khulna"
281,"Khulna"
282,"Bagerhat"
283,"Chuadanga"
284,"Chuadanga"
285,"Jessore"
286,"Jessore"
287,"Jessore"
288,"Jhenaidah"
289,"Jhenaidah"
290,"Jhenaidah"
291,"Kushtia"
292,"Magura"
293,"Meherpur"
294,"Satkhira"
295,"Bagerhat"
296,"Jessore"
297,"Khulna"
298,"Kushtia"
299,"Satkhira"
300,"Bagerhat"
301,"Bagerhat"
302,"Bagerhat"
303,"Bagerhat"
304,"Bagerhat"
305,"Bagerhat"
306,"Chuadanga"
307,"Chuadanga"
308,"Chuadanga"
309,"Chuadanga"
310,"Jessore"
311,"Jessore"
312,"Jessore"
313,"Jessore"
314,"Jessore"
315,"Jessore"
316,"Jessore"
317,"Jessore"
318,"Jessore"
319,"Jhenaidah"
320,"Jhenaidah"
321,"Jhenaidah"
322,"Jhenaidah"
323,"Jhenaidah"
324,"Jhenaidah"
325,"Jhenaidah"
326,"Khulna"
327,"Khulna"
328,"Khulna"
329,"Khulna"
330,"Khulna"
331,"Khulna"
332,"Khulna"
333,"Kushtia"
334,"Kushtia"
335,"Kushtia"
336,"Kushtia"
337,"Kushtia"
338,"Kushtia"
339,"Kushtia"
340,"Kushtia"
341,"Magura"
342,"Magura"
343,"Magura"
344,"Magura"
345,"Meherpur"
346,"Meherpur"
347,"Narail"
348,"Narail"
349,"Narail"
350,"Satkhira"
351,"Satkhira"
352,"Satkhira"
353,"Satkhira"
354,"Satkhira"
355,"Satkhira"
356,"Satkhira"
357,"Satkhira"
358,"Jamalpur"
359,"Jamalpur"
360,"Jamalpur"
361,"Mymensingh"
362,"Mymensingh"
363,"Mymensingh"
364,"Mymensingh"
365,"Mymensingh"
366,"Netrakona"
367,"Netrakona"
368,"Sherpur"
369,"Sherpur"
370,"Jamalpur"
371,"Mymensingh"
372,"Mymensingh"
373,"Mymensingh"
374,"Netrakona"
375,"Jamalpur"
376,"Jamalpur"
377,"Jamalpur"
378,"Jamalpur"
379,"Jamalpur"
380,"Jamalpur"
381,"Jamalpur"
382,"Jamalpur"
383,"Jamalpur"
384,"Jamalpur"
385,"Jamalpur"
386,"Jamalpur"
387,"Mymensingh"
388,"Mymensingh"
389,"Mymensingh"
390,"Mymensingh"
391,"Mymensingh"
392,"Mymensingh"
393,"Mymensingh"
394,"Mymensingh"
395,"Mymensingh"
396,"Mymensingh"
397,"Mymensingh"
398,"Mymensingh"
399,"Mymensingh"
400,"Mymensingh"
401,"Mymensingh"
402,"Mymensingh"
403,"Mymensingh"
404,"Mymensingh"
405,"Mymensingh"
406,"Mymensingh"
407,"Mymensingh"
408,"Mymensingh"
409,"Mymensingh"
410,"Mymensingh"
411,"Mymensingh"
412,"Mymensingh"
413,"Mymensingh"
414,"Netrakona"
415,"Netrakona"
416,"Netrakona"
417,"Netrakona"
418,"Netrakona"
419,"Netrakona"
420,"Netrakona"
421,"Netrakona"
422,"Netrakona"
423,"Netrakona"
424,"Netrakona"
425,"Netrakona"
426,"Sherpur"
427,"Sherpur"
428,"Sherpur"
429,"Sherpur"
430,"Sherpur"
431,"Sherpur"
432,"Sherpur"
433,"Rajshahi"
434,"Rajshahi"
435,"Rajshahi"
436,"Rajshahi"
437,"Rajshahi"
438,"Rajshahi"
439,"Rajshahi"
440,"Rajshahi"
441,"Rajshahi"
442,"Rajshahi"
443,"Rajshahi"
444,"Bogra"
445,"Bogra"
446,"Bogra"
447,"Bogra"
448,"Bogra"
449,"Joypurhat"
450,"Naogaon"
451,"Natore"
452,"Nawabganj"
453,"Nawabganj"
454,"Pabna"
455,"Pabna"
456,"Pabna"
457,"Rajshahi"
458,"Rajshahi"
459,"Sirajganj"
460,"Sirajganj"
461,"Sirajganj"
462,"Naogaon"
463,"Sirajganj"
464,"Bogra"
465,"Bogra"
466,"Bogra"
467,"Bogra"
468,"Bogra"
469,"Bogra"
470,"Bogra"
471,"Bogra"
472,"Bogra"
473,"Bogra"
474,"Bogra"
475,"Joypurhat"
476,"Joypurhat"
477,"Joypurhat"
478,"Naogaon"
479,"Naogaon"
480,"Naogaon"
481,"Naogaon"
482,"Naogaon"
483,"Naogaon"
484,"Naogaon"
485,"Naogaon"
486,"Naogaon"
487,"Natore"
488,"Natore"
489,"Natore"
490,"Natore"
491,"Natore"
492,"Natore"
493,"Nawabganj"
494,"Nawabganj"
495,"Nawabganj"
496,"Nawabganj"
497,"Nawabganj"
498,"Pabna"
499,"Pabna"
500,"Pabna"
501,"Pabna"
502,"Pabna"
503,"Pabna"
504,"Pabna"
505,"Rajshahi"
506,"Rajshahi"
507,"Rajshahi"
508,"Rajshahi"
509,"Rajshahi"
510,"Rajshahi"
511,"Rajshahi"
512,"Sirajganj"
513,"Sirajganj"
514,"Sirajganj"
515,"Sirajganj"
516,"Sirajganj"
517,"Sirajganj"
518,"Sirajganj"
519,"Sirajganj"
520,"Sirajganj"
521,"Sirajganj"
522,"Rangpur"
523,"Rangpur"
524,"Rangpur"
525,"Rangpur"
526,"Rangpur"
527,"Rangpur"
528,"Rangpur"
529,"Dinajpur"
530,"Dinajpur"
531,"Dinajpur"
532,"Dinajpur"
533,"Gaibandha"
534,"Kurigram"
535,"Kurigram"
536,"Lalmonirhat"
537,"Nilphamari"
538,"Panchagarh"
539,"Rangpur"
540,"Thakurgaon"
541,"Dinajpur"
542,"Kurigram"
543,"Kurigram"
544,"Nilphamari"
545,"Dinajpur"
546,"Dinajpur"
547,"Dinajpur"
548,"Dinajpur"
549,"Dinajpur"
550,"Dinajpur"
551,"Dinajpur"
552,"Dinajpur"
553,"Dinajpur"
554,"Dinajpur"
555,"Dinajpur"
556,"Gaibandha"
557,"Gaibandha"
558,"Gaibandha"
559,"Gaibandha"
560,"Gaibandha"
561,"Gaibandha"
562,"Gaibandha"
563,"Gaibandha"
564,"Gaibandha"
565,"Gaibandha"
566,"Gaibandha"
567,"Kurigram"
568,"Kurigram"
569,"Kurigram"
570,"Kurigram"
571,"Kurigram"
572,"Kurigram"
573,"Kurigram"
574,"Kurigram"
575,"Lalmonirhat"
576,"Lalmonirhat"
577,"Lalmonirhat"
578,"Lalmonirhat"
579,"Nilphamari"
580,"Nilphamari"
581,"Nilphamari"
582,"Nilphamari"
583,"Nilphamari"
584,"Nilphamari"
585,"Panchagarh"
586,"Panchagarh"
587,"Panchagarh"
588,"Panchagarh"
589,"Rangpur"
590,"Rangpur"
591,"Rangpur"
592,"Rangpur"
593,"Rangpur"
594,"Rangpur"
595,"Rangpur"
596,"Rangpur"
597,"Rangpur"
598,"Rangpur"
599,"Rangpur"
600,"Rangpur"
601,"Thakurgaon"
602,"Thakurgaon"
603,"Thakurgaon"
604,"Thakurgaon"
605,"Thakurgaon"
606,"Sylhet"
607,"Sylhet"
608,"Sylhet"
609,"Sylhet"
610,"Sylhet"
611,"Sylhet"
612,"Sylhet"
613,"Sylhet"
614,"Sylhet"
615,"Sylhet"
616,"Habiganj"
617,"Habiganj"
618,"Habiganj"
619,"Maulvibazar"
620,"Maulvibazar"
621,"Sunamganj"
622,"Sunamganj"
623,"Sylhet"
624,"Sylhet"
625,"Habiganj"
626,"Sunamganj"
627,"Sylhet"
628,"Sylhet"
629,"Habiganj"
630,"Habiganj"
631,"Habiganj"
632,"Habiganj"
633,"Habiganj"
634,"Habiganj"
635,"Habiganj"
636,"Habiganj"
637,"Habiganj"
638,"Habiganj"
639,"Habiganj"
640,"Maulvibazar"
641,"Maulvibazar"
642,"Maulvibazar"
643,"Maulvibazar"
644,"Maulvibazar"
645,"Maulvibazar"
646,"Maulvibazar"
647,"Maulvibazar"
648,"Maulvibazar"
649,"Maulvibazar"
650,"Sunamganj"
651,"Sunamganj"
652,"Sunamganj"
653,"Sunamganj"
654,"Sunamganj"
655,"Sunamganj"
656,"Sunamganj"
657,"Sunamganj"
658,"Sunamganj"
659,"Sunamganj"
660,"Sunamganj"
661,"Sunamganj"
662,"Sylhet"
663,"Sylhet"
664,"Sylhet"
665,"Sylhet"
666,"Sylhet"
667,"Sylhet"
668,"Sylhet"
669,"Sylhet"
670,"Sylhet"
671,"Sylhet"
672,"Sylhet"
673,"Sylhet"
674,"Sylhet"
675,"Sylhet"
